year,month,day,hour,minute,second,temperature
2023,11,10,15,26,0.00,23.00
2023,11,6,16,1,22.00,20.00
2023,11,6,16,1,31.00,17.00
2023,11,6,16,1,32.00,17.00
2023,11,6,16,1,32.00,17.00
2023,11,6,16,1,33.00,17.00
2023,11,6,16,1,33.00,17.00
2023,11,6,16,1,33.00,17.00
2023,11,6,16,1,33.00,17.00
2023,11,6,16,4,52.00,22.00
2023,11,6,16,4,54.00,22.00
2023,11,6,16,4,57.00,22.00
2023,11,6,16,4,59.00,22.00
2023,11,6,16,5,1.00,22.00
2023,11,6,16,5,3.00,22.00
2023,11,6,16,5,6.00,22.00
2023,11,6,16,5,8.00,22.00
2023,11,6,16,5,10.00,22.00
2023,11,6,16,5,12.00,22.00
2023,11,6,16,5,15.00,22.00
2023,11,6,16,5,17.00,22.00
2023,11,6,16,5,19.00,23.00
2023,11,6,16,5,22.00,22.00
2023,11,6,16,5,24.00,23.00
2023,11,6,16,5,26.00,23.00
2023,11,6,16,5,28.00,23.00
2023,11,6,16,5,31.00,23.00
2023,11,6,16,5,33.00,23.00
2023,11,6,16,5,35.00,23.00
2023,11,6,16,5,37.00,23.00
2023,11,6,16,5,40.00,23.00
2023,11,6,16,5,42.00,23.00
2023,11,6,16,5,44.00,23.00
2023,11,6,16,5,46.00,23.00
2023,11,6,16,5,49.00,23.00
2023,11,6,16,5,51.00,23.00
2023,11,6,16,5,53.00,23.00
2023,11,6,16,5,56.00,23.00
2023,11,6,16,5,58.00,23.00
2023,11,6,16,6,0.00,23.00
2023,11,6,16,6,2.00,23.00
2023,11,6,16,6,10.00,23.00
2023,11,6,16,6,12.00,23.00
2023,11,6,16,14,45.00,17.00
2023,11,7,15,46,48.00,17.00
2023,11,7,15,46,59.00,17.00
2023,11,7,15,48,32.00,17.00
2023,11,8,9,11,16.00,20.00
2023,11,8,9,11,19.00,20.00
2023,11,8,9,11,21.00,20.00
2023,11,8,9,11,23.00,20.00
2023,11,8,9,11,25.00,20.00
2023,11,8,9,11,28.00,20.00
2023,11,8,9,11,30.00,20.00
2023,11,8,9,11,32.00,20.00
2023,11,8,9,11,35.00,21.00
2023,11,8,9,11,37.00,20.00
2023,11,8,9,11,39.00,20.00
2023,11,8,9,11,41.00,20.00
2023,11,8,9,11,44.00,20.00
2023,11,8,9,11,46.00,21.00
2023,11,8,9,11,48.00,21.00
2023,11,8,9,11,50.00,20.00
2023,11,8,9,11,53.00,20.00
2023,11,8,9,23,4.00,22.00
2023,11,8,9,23,6.00,22.00
2023,11,8,9,23,9.00,22.00
2023,11,8,9,23,11.00,22.00
2023,11,8,9,23,13.00,22.00
2023,11,8,9,23,15.00,22.00
2023,11,8,9,23,18.00,22.00
2023,11,8,9,23,20.00,22.00
2023,11,8,9,23,22.00,22.00
2023,11,8,9,23,25.00,22.00
2023,11,8,9,23,27.00,22.00
2023,11,8,9,23,29.00,22.00
2023,11,8,9,23,31.00,22.00
2023,11,8,9,23,34.00,22.00
